imdbId,title,RottenTomatoes,Metacritic,IMDB,Fandango_Stars
42332,Cinderella,85,67,7.1,5.0
128996,Cinderella,85,67,7.1,5.0
3772,Cinderella,85,67,7.1,5.0
910852,Cinderella,85,67,7.1,5.0
1661199,Cinderella,85,67,7.1,5.0
2637294,Hot Tub Time Machine 2,14,29,5.1,3.5
3007512,The Water Diviner,63,50,7.2,4.5
2784678,Top Five,86,81,6.5,4.0
2261331,Black Sea,82,62,6.4,4.0
97737,Leviathan,99,92,7.7,4.0
2332522,Leviathan,99,92,7.7,4.0
2802154,Leviathan,99,92,7.7,4.0
1809398,Unbroken,51,59,7.2,4.5
2084970,The Imitation Game,90,73,8.1,5.0
2446042,Taken 3,9,26,6.1,4.5
2692250,Night at the Museum: Secret of the Tomb,50,47,6.3,4.5
2199571,Run All Night,60,59,6.6,4.5
1020072,Selma,99,89,7.5,5.0
3316960,Still Alice,88,72,7.5,4.5
3011894,Wild Tales,96,77,8.2,4.5
3416744,The End of the Tour,92,84,7.9,4.5
3264102,Red Army,96,82,7.7,4.5
3398268,When Marnie Was There,89,71,7.8,4.5
4185572,The Hunting Ground,92,77,7.5,4.5
3181822,The Boy Next Door,10,30,4.6,4.0
1850397,The Loft,11,24,6.3,4.0
2707848,Saint Laurent,51,52,6.3,3.5
2172584,Maps to the Stars,60,67,6.3,3.5
3409392,Timbuktu,99,91,7.2,4.0
3172532,The Diary of a Teenage Girl,95,87,7.0,4.0
2802144,Kingsman: The Secret Service,75,58,7.8,4.5
83564,Annie,27,33,5.2,4.5
1823664,Annie,27,33,5.2,4.5
120667,Fantastic Four,9,27,4.0,3.0
93215,Hot Pursuit,8,31,4.9,4.0
1666801,The DUFF,71,56,6.6,4.5
2883434,Black or White,39,45,6.6,4.5
2436386,Project Almanac,34,47,6.4,4.0
1121096,Seventh Son,12,30,5.5,3.5
3045616,Mortdecai,12,27,5.5,3.5
2358925,Unfinished Business,11,32,5.4,3.5
2273657,True Story,45,50,6.3,3.5
2562232,Birdman,92,88,7.9,4.0
2473794,Mr. Turner,98,94,6.9,3.5
1185418,The Wrecking Crew,93,67,7.8,4.5
2179136,American Sniper,72,72,7.4,5.0
2310332,The Hobbit: The Battle of the Five Armies,61,59,7.5,4.5
1823672,Chappie,30,41,7.0,4.0
84516,Poltergeist,31,47,5.0,3.0
1126590,Big Eyes,72,62,7.0,4.0
2717822,Blackhat,34,51,5.4,3.0
1109624,Paddington,98,77,7.2,4.5
3850214,Dope,87,72,7.5,4.5
3416742,What We Do in the Shadows,96,75,7.6,4.5
3844362,The Overnight,82,65,6.9,3.5
3674140,The Salt of the Earth,96,83,8.4,4.5
1865505,Song of the Sea,99,86,8.2,4.5
2322441,Fifty Shades of Grey,25,46,4.2,4.0
2561572,Get Hard,29,34,6.1,4.0
246628,Focus,57,56,6.6,4.0
2381941,Focus,57,56,6.6,4.0
1617661,Jupiter Ascending,26,40,5.5,3.5
2555736,The Second Best Exotic Marigold Hotel,62,51,6.6,4.0
4191054,Strange Magic,17,25,5.7,3.5
2515034,The Gunman,17,39,5.8,3.5
413879,Cake,49,49,6.5,3.5
3442006,Cake,49,49,6.5,3.5
2515030,Escobar: Paradise Lost,52,56,6.6,4.0
99851,Into the Woods,71,69,6.0,3.5
2180411,Into the Woods,71,69,6.0,3.5
3235888,It Follows,96,83,6.9,3.0
1791528,Inherent Vice,73,81,6.7,3.0
2937898,A Most Violent Year,90,79,7.1,3.5
2452254,Clouds of Sils Maria,89,78,6.8,3.5
119892,Phoenix,99,91,7.2,3.5
2764784,Phoenix,99,91,7.2,3.5
420293,The Stanford Prison Experiment,84,68,7.1,4.0
1014762,Home,45,55,6.7,4.5
1319569,Home,45,55,6.7,4.5
2224026,Home,45,55,6.7,4.5
884732,The Wedding Ringer,27,35,6.7,4.5
2474024,The Last Five Years,60,60,6.0,4.5
118614,Amy,97,85,8.0,4.5
290210,Max,35,47,7.0,4.5
2918436,The Lazarus Effect,14,31,5.2,3.0
3233418,Spare Parts,52,50,7.2,4.5
1247690,Serena,18,36,5.4,3.0
2614684,'71,97,83,7.2,3.5
3062880,Gett: The Trial of Viviane Amsalem,100,90,7.8,3.5
